word,lemma
الله,اللهِ
بسم,بسم
الرحمن,الرحمن
الرحيم,الرحيم
للإسلام,إِسلَام
رسول,رَسُول
تعالى,تَعَالَى
قرآن,قُرآن
صلى,صَلَّى
صلاة,صَلَاة
الجزائر,الجَزَائِر
الإسلام,إِسلَام
وهران,وهران
برج بوعريريج,برج بوعريريج
مستغانم,	مستغانم
	بشار,	بشار
ورقلة,ورقلة
تلمسان,تلمسان
	بجاية,	بجاية
	تيارت,	تيارت
سكيكدة,سكيكدة
الوادي,الوادي
	تبسة,	تبسة
	بسكرة,	بسكرة
سيدي بلعباس,سيدي بلعباس
	سطيف,	سطيف
الجلفة,الجلفة
	قسنطينة,	قسنطينة
عنابة,عنابة
	ميلة,	ميلة
	تيزي وزو,	تيزي وزو
	معسكر,	معسكر
	بوسعادة,	بوسعادة
	خنشلة,	خنشلة
عين البيضاء,عين البيضاء
قالمة,قالمة
غليزان,غليزان
جيجل,جيجل
المسيلة,المسيلة
	الأغواط,	الأغواط
سعيدة,سعيدة
غرداية,غرداية
العلمة,العلمة
	المدية,	المدية
	سوق أهراس,	سوق أهراس
	الشلف,	الشلف
المغرب,المغرب
السودان,السودان
النيجر,النيجر
قورارة,قورارة
تيميمون,تيميمون
أدرار,أدرار
توات,توات
كورارة,كورارة
الجولية,الجولية
الساورة,الساورة
الباهية,الباهية
سيرتا القديمة,سيرتا القديمة
سيرتا,سيرتا القديمة
القديمة,القديمة
الشعبية,الشعبية
الديمقراطية,الديمقراطية
الجزائرية,الجزائرية
الجمهورية,الجمهورية
أوبك,أوبك
​​أفريقيا,​​أفريقيا
الأمازيغية,الأمازيغية
العربية,العربية
الجزائري,الجزائري
الدينار,الدينار
شعبي,شعبي
ديمقراطي,ديمقراطي
جمهوري,جمهوري
صحراوي,صحراوي 
الأطلس,الأطلس
رَمَضَان,رَمَضَان
الفِطْرِ,الفِطْرِ
عِيدُ,عِيدُ
المُسْلِمُونَ,المُسْلِمُونَ
الأَضْحَى,الأَضْحَى
الحَجّ,الحَجّ
مُعَايَدَة,مُعَايَدَة
الدين,دين
كتبت,كتب
الكتاب,كتاب
المدرسة,مدرسة
الجمال,جمال
الطالب,طالب
السائق,سائق
الماء,ماء
الشمس,شمس
القلم,قلم
المدينة,مدينة
الكرة,كرة
البيت,بيت
الحديقة,حديقة
الطبيب,طبيب
الطالبة,طالبة
الجامعة,جامعة
القراءة,قراءة
السماء,سماء
القمر,قمر
النجم,نجم
الليل,ليل
النهار,نهار
العلم,علم
الحياة,حياة
الموت,موت
السلام,سلام
الحرب,حرب
الشجرة,شجرة
الوردة,وردة
الأمل,أمل
الحب,حب
الفرح,فرح
الحزن,حزن
السعادة,سعادة
المشاكل,مشاكل
الصحة,صحة
المرض,مرض
القوة,قوة
الضعف,ضعف
الفشل,فشل
النجاح,نجاح
العمل,عمل
الراحة,راحة
السفر,سفر
العطلة,عطلة
الزواج,زواج
الطلاق,طلاق
الأب,أب
الأم,أم
الأخ,أخ
الأخت,أخت
العم,عم
العمة,عمة
الابن,ابن
الابنة,ابنة
الجد,جد
الجدة,جدة
الحفيد,حفيد
الحفيدة,حفيدة
الأسرة,أسرة
المنزل,منزل
الباب,باب
النافذة,نافذة
الغرفة,غرفة
السرير,سرير
المطبخ,مطبخ
الحمام,حمام
الصالة,صالة
المكتب,مكتب
الكرسي,كرسي
الملابس,ملابس
الأحذية,أحذية
السيارة,سيارة
الطائرة,طائرة
السفينة,سفينة
القطار,قطار
الدراجة,دراجة
المستشفى,مستشفى
المكتبة,مكتبة
المطار,مطار
الميناء,ميناء
السوق,سوق
المتجر,متجر
المطعم,مطعم
المقهى,مقهى
النادي,نادي
الملعب,ملعب
المسجد,مسجد
برج,برج
بوعريريج,بوعريريج